datetime_utc,distance_au,velocity_km_s,designation,name,diameter_km,potentially_hazardous
2020-11-17 19:26:00,0.140534153703286,28.3085690278036,2018 XZ1,,nan,False
2020-11-18 22:51:00,0.420925322857239,27.4306625263792,2016 LG49,,nan,False
2020-11-19 21:58:00,0.443005904612011,25.2632114167193,2016 XM23,,nan,True
2020-11-23 06:09:00,0.456857207783282,25.1593947843671,2017 VJ,,nan,False
2020-11-24 10:52:00,0.440177217646322,28.9717433508538,2019 WC4,,nan,False
2020-11-25 01:09:00,0.302586972114387,32.0422602337455,2017 WV13,,nan,True
2020-11-25 22:08:00,0.340832147837133,25.9604037603233,2019 WG3,,nan,False
2020-11-29 05:08:00,0.0287618678984483,25.0726387403463,153201,,0.51,True
2020-11-30 12:12:00,0.49686080495668,26.162082079825,523808,,nan,True
2020-12-01 19:56:00,0.373846531226715,27.9759614281183,2012 XN2,,nan,False
2020-12-03 05:04:00,0.325393712660834,27.2545620213705,2017 MA4,,nan,False
2020-12-03 06:27:00,0.476040878655801,26.5234819701455,2018 WB2,,nan,False
2020-12-03 14:02:00,0.252138087444644,25.598505347995,2015 XA378,,nan,False
2020-12-04 03:00:00,0.499939557942959,28.1804172347477,2020 MB1,,nan,False
2020-12-04 08:00:00,0.467128621464914,31.3940396836047,2019 WS2,,nan,False
2020-12-07 00:26:00,0.167100135266691,30.0591538035993,2010 XA68,,nan,True
2020-12-09 10:16:00,0.444787583255514,26.7349852103994,417655,,nan,False
2020-12-13 05:05:00,0.426371352955881,37.6246706147169,289227,,nan,False
2020-12-18 21:45:00,0.297972252446446,26.135843811889,2010 XD25,,nan,False
2020-12-19 12:15:00,0.122689782387187,35.5865120355469,2015 DZ53,,nan,False
2020-12-19 21:50:00,0.490800833831918,27.5377656552662,2005 MF5,,nan,False
2020-12-20 05:37:00,0.498325608566216,26.1709130837184,2019 ND7,,nan,True
2020-12-22 18:06:00,0.435376090275714,28.8079075885368,2016 LK49,,nan,False
2020-12-24 14:35:00,0.219038710275901,34.7450996495542,2018 GE3,,nan,False
2020-12-26 14:25:00,0.443183020602293,31.2196235685604,2008 XW2,,nan,True
2020-12-27 20:53:00,0.468472284709997,29.2778483159544,351340,,nan,False
2020-12-29 08:08:00,0.384597429996748,25.7435041177774,480883,,nan,True
2020-12-29 12:14:00,0.347694696261944,27.0900703350184,276409,,nan,False
